UID,id,instructorId,termId,schoolCode,number,section,type
39735-3311-87,39735,3311,87,CS,3800,02,Lecture
40970-515-87,40970,515,87,CS,3800,03,Lecture
38939-3129-87,38939,3129,87,CS,4100,01,Lecture
39968-2299-87,39968,2299,87,CS,4120,01,Lecture
38694-3666-87,38694,3666,87,CS,4300,01,Lecture
38191-4164-87,38191,4164,87,CS,4400,01,Lecture
40859-737-87,40859,737,87,CS,4400,02,Lecture
40931-1125-87,40931,1125,87,CS,4410,01,Lecture
38018-2563-87,38018,2563,87,CS,4500,01,Lecture
40224-4164-87,40224,4164,87,CS,4500,03,Lecture
40864-2563-87,40864,2563,87,CS,4501,01,Recitation/Discussion
40865-2563-87,40865,2563,87,CS,4501,02,Recitation/Discussion
40867-2563-87,40867,2563,87,CS,4501,03,Recitation/Discussion
40868-2563-87,40868,2563,87,CS,4501,04,Recitation/Discussion
40225-2398-87,40225,2398,87,CS,4550,01,Lecture
37667-3904-87,37667,3904,87,CS,4700,01,Lecture
38423-709-87,38423,709,87,CS,4740,01,Lecture
41052-2604-87,41052,2604,87,CS,4820,01,Lecture
39680-4112-87,39680,4112,87,CS,5001,01,Lecture
41130-4040-87,41130,4040,87,CS,5001,02,Lecture
41130-4053-87,41130,4053,87,CS,5001,02,Lecture
41131-3987-87,41131,3987,87,CS,5001,03,Lecture
41131-4100-87,41131,4100,87,CS,5001,03,Lecture
41131-4107-87,41131,4107,87,CS,5001,03,Lecture
41131-4206-87,41131,4206,87,CS,5001,03,Lecture
41131-4292-87,41131,4292,87,CS,5001,03,Lecture
41131-4311-87,41131,4311,87,CS,5001,03,Lecture
41235-3983-87,41235,3983,87,CS,5001,05,Lecture
41274-4112-87,41274,4112,87,CS,5001,06,Lecture
39681-3311-87,39681,3311,87,CS,5002,01,Lecture
41132-3296-87,41132,3296,87,CS,5002,02,Lecture
41133-2906-87,41133,2906,87,CS,5002,03,Lecture
41236-3885-87,41236,3885,87,CS,5002,05,Lecture
41280-3373-87,41280,3373,87,CS,5002,06,Lecture
41290-3311-87,41290,3311,87,CS,5002,07,Lecture
41134-3987-87,41134,3987,87,CS,5003,02,Recitation/Discussion
41135-4040-87,41135,4040,87,CS,5003,03,Recitation/Discussion
41237-3983-87,41237,3983,87,CS,5003,04,Recitation/Discussion
41275-4112-87,41275,4112,87,CS,5003,06,Recitation/Discussion
41276-4112-87,41276,4112,87,CS,5003,07,Recitation/Discussion
41277-4112-87,41277,4112,87,CS,5003,08,Recitation/Discussion
41278-4112-87,41278,4112,87,CS,5003,09,Recitation/Discussion
38514-2969-87,38514,2969,87,CS,5010,01,Lecture
39379-2749-87,39379,2749,87,CS,5010,02,Lecture
39195-2749-87,39195,2749,87,CS,5010,03,Lecture
41015-4042-87,41015,4042,87,CS,5010,04,Lecture
41015-3296-87,41015,3296,87,CS,5010,04,Lecture
41015-3987-87,41015,3987,87,CS,5010,04,Lecture
41015-4080-87,41015,4080,87,CS,5010,04,Lecture
41015-2738-87,41015,2738,87,CS,5010,04,Lecture
41015-4220-87,41015,4220,87,CS,5010,04,Lecture
41015-4273-87,41015,4273,87,CS,5010,04,Lecture
41015-4280-87,41015,4280,87,CS,5010,04,Lecture
41015-2906-87,41015,2906,87,CS,5010,04,Lecture
41015-4352-87,41015,4352,87,CS,5010,04,Lecture
41015-4354-87,41015,4354,87,CS,5010,04,Lecture
41182-3691-87,41182,3691,87,CS,5010,05,Lecture
38321-2749-87,38321,2749,87,CS,5011,01,Recitation/Discussion
38388-2749-87,38388,2749,87,CS,5011,02,Recitation/Discussion
38402-2749-87,38402,2749,87,CS,5011,03,Recitation/Discussion
38273-2749-87,38273,2749,87,CS,5011,04,Recitation/Discussion
41016-3296-87,41016,3296,87,CS,5011,05,Recitation/Discussion
41017-2906-87,41017,2906,87,CS,5011,06,Recitation/Discussion
